company,domain
938994217,UNVERIFIED:unknown
@GROEP ALAIN BROEKAERT,UNVERIFIED:unknown
,UNVERIFIED:unknown
100 THIEVES,100thieves.com
1001 ENSEIGNES,1001enseignes.com
1001HOBBIES,1001hobbies.com
11 HONORE,11honore.com
1979 RETAIL,UNVERIFIED:unknown
20 DIVIN,UNVERIFIED:unknown
3M,3m.com
3MECO,UNVERIFIED:unknown
5 A SEC,UNVERIFIED:unknown
5ÀSEC,5asec.com
5COM,UNVERIFIED:unknown
6XPOS,6xpos.com
900.CARE,UNVERIFIED:unknown
A.S. WATSON,aswatson.com
A10 EQUIPMENT,a10equipment.com
A101 YENI MAGAZACILIK,a101.com.tr
A101 YENI MAĞAZACILIK A.Ş.,a101.com.tr
A2CAPARTNERS,UNVERIFIED:unknown
AA,aa.com
AARADHYA,UNVERIFIED:unknown
AB GOODS,UNVERIFIED:unknown
ABCOSMETIQUE,UNVERIFIED:unknown
ABD MARKET,UNVERIFIED:unknown
ABOUT YOU AG & CO.KG,aboutyou.com
ABRICÉA NATURE SAS,UNVERIFIED:unknown
ABYSSE CORP,abyssecorp.com
ACCERTIFY,accertify.com
ACCESSA GROUP,UNVERIFIED:accessa-group.com
ACCOR,accor.com
ACCOR HOTELS,accorhotels.com
ACE PRINT,UNVERIFIED:unknown
ACER,acer.com
ACKERMANS,ackermans.com
ACQUA DI PARMA,acquadiparma.com
ACTICHAT,UNVERIFIED:unknown
ACUITIS,acuitis.com
ADAM&EVE - GROUPE EQOM,adam-eve.com
ADAMIS,UNVERIFIED:unknown
AD-DA,ad-da.com
ADEIZ,UNVERIFIED:unknown
ADENAO,UNVERIFIED:unknown
ADEO,adeo.com
ADEO LEROY MERLIN,UNVERIFIED:leroymerlinfr.com
ADEO SERVICES,adeoservices.com
ADEVINTA,adevinta.com
ADIDAS,adidas.com
ADOLF WÜRTH GMBH,wuerth.com
ADORE ME,adoreme.com
ADOVA GROUP,UNVERIFIED:unknown
ADTRACTION,adtraction.com
ADVANIA,advania.com
ADVEO,adveo.com
ADVEO - CALIPAGE - PLEINCIEL - TOP OFFICE,adveo.com
ADVITAM,UNVERIFIED:unknown
AÉROPORT DE PARIS / EXTIME,aeroportdeparis.fr
AESTHETIC SINGULIER,UNVERIFIED:aestheticsingulier.com
AFFLELOU,afflelou.com
AFIBEL,afibel.com
AFI-ESCA,UNVERIFIED:unknown
AFILIZA,UNVERIFIED:unknown
AG GLOBAL TRADE,UNVERIFIED:unknown
AGATHA,UNVERIFIED:agatha.com
AGATHA PARIS,UNVERIFIED:agatha.com
ÂGE D'OR SERVICES,UNVERIFIED:unknown
AGIMISIO CONSULTING,UNVERIFIED:unknown
AGNÈS B.,agnesb.com
AGNESB,agnesb.com
AGOOFY,UNVERIFIED:unknown
AGORASTORE,UNVERIFIED:unknown
AGROMAT,UNVERIFIED:unknown
AHOLD DELHAIZE,ahold-delhaize.com
AHOLD DELHAIZE - MEGA IMAGE ROMANIA,UNVERIFIED:megaimage.ro
AHOLD DELHAIZE / AB VASSILOPOULOS,aholddelhaize.com
AHOLD DELHAIZE GROUP,aholddelhaize.com
AHOLD DELHAIZE NV,aholddelhaize.com
AHOLDDELHAIZE,ahold-delhaize.com
AHOLD-DELHAIZE,ahold-delhaize.com
AIDA SHOP,UNVERIFIED:unknown
AIGLE,aigle.com
AIGLE INTERNATIONAL,UNVERIFIED:unknown
AIME,UNVERIFIED:unknown
AIME SKINCARE,UNVERIFIED:unknown
AIR FRANCE,airfrance.com
AIRIUS,airius.com
AJC GALLERIES,UNVERIFIED:unknown
AK CONSULTING,UNVERIFIED:unknown
AKIMOFF,UNVERIFIED:unknown
ALAIN AFFLELOU,afflelou.com
"ALBERT ČESKÁ REPUBLIKA, S.R.O.",UNVERIFIED:unknown
ALBERT HEIJN,albertheijn.nl
ALDI,aldi.com
ALDI FOOD STORES LTD,aldi.com
ALDI INTERNATIONAL SERVICES SE & CO. OHG,aldi.com
ALDI SÜD,aldi-sued.com
ALEXANDER MCQUEEN,alexandermcqueen.com
ALFA E OMEGA MERCADO,UNVERIFIED:unknown
ALGAM,UNVERIFIED:unknown
ALIBABA,alibaba.com
