company,domain
100 THIEVES,100thieves.com
1001 ENSEIGNES,1001enseignes.com
1001HOBBIES,1001hobbies.com
11 HONORE,11honore.com
3M,3m.com
5ÀSEC,5asec.com
6XPOS,6xpos.com
A.S. WATSON,aswatson.com
A10 EQUIPMENT,a10equipment.com
A101 YENI MAGAZACILIK,a101.com.tr
A101 YENI MAĞAZACILIK A.Ş.,a101.com.tr
AA,aa.com
ABOUT YOU AG & CO.KG,aboutyou.com
ABYSSE CORP,abyssecorp.com
ACCERTIFY,accertify.com
ACCESSA GROUP,UNVERIFIED:accessa-group.com
ACCOR,accor.com
ACCOR HOTELS,accorhotels.com
ACER,acer.com
ACKERMANS,ackermans.com
ACQUA DI PARMA,acquadiparma.com
ACUITIS,acuitis.com
ADAM&EVE - GROUPE EQOM,adam-eve.com
AD-DA,ad-da.com
ADEO,adeo.com
ADEO LEROY MERLIN,UNVERIFIED:leroymerlinfr.com
ADEO SERVICES,adeoservices.com
ADEVINTA,adevinta.com
ADIDAS,adidas.com
ADOLF WÜRTH GMBH,wuerth.com
ADORE ME,adoreme.com
ADTRACTION,adtraction.com
ADVANIA,advania.com
ADVEO,adveo.com
ADVEO - CALIPAGE - PLEINCIEL - TOP OFFICE,adveo.com
AÉROPORT DE PARIS / EXTIME,aeroportdeparis.fr
AESTHETIC SINGULIER,UNVERIFIED:aestheticsingulier.com
AFFLELOU,afflelou.com
AFIBEL,afibel.com
AGATHA,UNVERIFIED:agatha.com
AGATHA PARIS,UNVERIFIED:agatha.com
AGNÈS B.,agnesb.com
AGNESB,agnesb.com
AHOLD DELHAIZE,ahold-delhaize.com
AHOLD DELHAIZE - MEGA IMAGE ROMANIA,UNVERIFIED:megaimage.ro
AHOLD DELHAIZE / AB VASSILOPOULOS,aholddelhaize.com
AHOLD DELHAIZE GROUP,aholddelhaize.com
AHOLD DELHAIZE NV,aholddelhaize.com
AHOLDDELHAIZE,ahold-delhaize.com
AHOLD-DELHAIZE,ahold-delhaize.com
AIGLE,aigle.com
AIR FRANCE,airfrance.com
AIRIUS,airius.com
ALAIN AFFLELOU,afflelou.com
ALBERT HEIJN,albertheijn.nl
ALDI,aldi.com
ALDI FOOD STORES LTD,aldi.com
