"Issue Type","Key","Created","Summary","Assignee","Reporter","Priority","Status","Resolution","Updated","Description"
"Ticket","DSH-5521","2025-04-11T22:41:24.788+0200","[AN] Incomplete Call Transcription","Unassigned","Zoltan Viragh","High","Backlog","Unresolved","2025-04-11T22:42:47.050+0200","Hi! What happened? • Client reported the first couple seconds of their calls are not being transcribed by our AI.  How to reproduce? Step by step. • Impersonate the client.  • Inspect the specified call below.  • Compare the transcription to the recording.  Expected behavior? • Calls should be transcribed in their entirety.  Company id: 272539 MRR at risk:2,527.00 Call IDs:847096659 https://app.datadoghq.eu/logs?query=847096659&agg_m=count&agg_m_source=base&agg_t=count&cols=host%2Cservice&fromUser=true&messageDisplay=inline&refresh_mode=paused&storage=hot&stream_sort=desc&viz=stream&from_ts=1744322400000&to_ts=1744404050479&live=false Could you please take a look? Thank you! Ps. I wasnt sure if this belonged with the AI team or the DSH team. • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5520","2025-04-11T22:08:29.982+0200","[Dashboard] Unable to Download Complete Survey Answers Report","Unassigned","Zoltan Viragh","Normal","Backlog","Unresolved","2025-04-11T22:08:33.510+0200","Hi! What happened? • Client reported they are unable to download a complete export of survey answers for campaigns. Apparently they have to go through pages one by one and download the results for each page. In the legacy dashboard this wasnt the case.  How to reproduce? Step by step. • I am unable to replicate this cause of this jira: https://cloudtalk.atlassian.net/browse/DSH-5502  Expected behavior? • Clients should be able to download a complete export of survey answers for campaigns.  Company id: 300923 MRR at risk:207 Link to logs:N/A Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5519","2025-04-11T18:40:08.847+0200","[Dashboard] Unable to Download Recordings Due to Timezone","Unassigned","Zoltan Viragh","High","Backlog","Unresolved","2025-04-11T18:47:04.894+0200","Hi! What happened? • Client reported they are unable to download call recordings from the dashboard. L1 senior identified the root cause of the issue as the timezone they had set based on the errors in console logs.  Timezones affected: GMT+3:30 TehranGMT+4:30 KabulGMT+5:30 KolkataGMT+5:45 KathmanduGMT+9:30 AdelaideGMT+9:30 Darwin With one of the timezones mentioned above set, the download recording button is unresponsive/does nothing. How to reproduce? Step by step. • Set your account to one of the above-mentioned timezones.  • Attempt to download a call recording.  Expected behavior? • Call recording should be downloaded.  Company id: 197579 MRR at risk:186 Link to logs: • Attached har file.  Could you please take a look? Thank you! Attachmentscan't download recording.har • Please see Zendesk Support tab for further comments and attachments."
"Bug","DSH-5518","2025-04-11T16:54:57.382+0200","Impersonation - Translation of call summary and transcriptions does not work","Unassigned","Teodor Lilov","Normal","Backlog","Unresolved","2025-04-11T16:54:57.554+0200","What happened? Call summaries and transcription can not be translated when a company is being impersonated How to reproduce? Step by step. • Login to https://admin.prod.cloudtalk.io/companies/impersonation  • Impersonate the Analytics of company 177945  • Open the Call details of a non-English call  • Click on the “Translate to Original” for the Summary   Expected behavior? The summary/transcription should be translated Additional data: Company ID: 177945 Environment: prod"
"Ticket","DSH-5517","2025-04-11T13:32:47.004+0200","[Dashboard] Unable to Add Agents Despite Having Free Seats","Unassigned","Lucia Mlynárová","Normal","Under Triage","Unresolved","2025-04-12T15:17:07.764+0200","Hello team,  this is a follow up for the ticket: https://cloudtalk.atlassian.net/browse/DSH-5436 What happened?Customer reported being unable to add users via the new dashboard. Whenever they attempt to do so they are asked to add a seat to their account despite having free seats available. How to reproduce? Step by step.Able to replicate only through impersonation. 1. open the company2. try to add an agent Expected behavior?If seats are available, the user should be redirected to the agent creation screen. Company id: 126783MRR: $1 246,00 / MonthlyLogs: see attached files L1 was able to add the agent for the customer, however, did not generate the HAR file or debug console before. They did replicate the issue via impersonation, debug console and HAR file attached. The customer tried incognito window, did not help the issue.  Could you, please, look into this? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5516","2025-04-11T13:15:48.734+0200","[Platform] Issue with the “First login screen”","Unassigned","Zendesk Support for Jira","Normal","Backlog","Unresolved","2025-04-11T13:16:17.237+0200","Hello team,  As discussed in this thread, I am creating the ticket for this issue: https://cloudtalkio.slack.com/archives/C04ULE51CG1/p1742466935836029 What happened?As discussed in the thread, we’ve noticed an increase in tickets where we need to manually disable `show_first_login` in the database for users to pass the onboarding page. They receive the error: “Company with this name already exists”, regardless of the name they enter. How to reproduce? Step by step.I tried, but I was not able to replicate the issue Expected behavior?The users should be able to enter the name of the company and move forward with the onboarding.  Company ids that recently reported this problem: 304085 - trial304083 - trial303951 - trial297495- inactive 300943- expired trial300933- inactive Screenshot of the error attached. This trend has been noticeable since January, and we’d like to understand the cause and whether there’s a way to prevent it. Would it be possible to look into this? Thank you! • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5515","2025-04-10T14:46:30.305+0200","[AN] Incorrect Call Recording Duration Displayed","Nicoletta Donadio","Zoltan Viragh","Normal","Backlog","Unresolved","2025-04-13T11:05:17.194+0200","Hi! What happened? • Client reported a problem with call recording duration being displayed in analytics for the call specified below.  Analytics indicates that only 7 minutes of the call were recorded while in reality the entire thing was recorded 1 hour+ long recording. The user can scrub through the entire recording which breaks the displayed duration completely. How to reproduce? Step by step. • Impersonate 174785  • Filter the following call: 841501927  • Check the call recording duration and scrub through it.  Expected behavior? • Displayed call recording duration should be correct.  Company id: 174785 MRR at risk:1,140.00 Link to logs:N/A Could you please take a look? Thank you. • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5513","2025-04-09T21:40:13.099+0200","[AN] Problem With Agent Permissions","Arnaldo Tema","Zoltan Viragh","High","Triaged","Unresolved","2025-04-10T15:53:37.578+0200","Hi! What happened? • Client reported that their agents can see other agents they are not supposed to in the ""Agent report"" section of analytics.  They can also remove the pre-set filters after opening analytics. I assume this is by design. When they attempt to open the list of calls for one of the agents they arent supposed to see they get an error that states ""missing permissions"" Their visibility settings are in the attached screenshot. I copied their settings and could not replicate the issue. Lubo from L1 could however. How to reproduce? Step by step. • Set yourself to ""Agent""  • Set your call visibility to ""Own calls and all missed calls via their groups and numbers""  • You should see calls that dont fall under this description in the agent report section.  Expected behavior? • Since they dont have permission to view those agents I assume they shouldn't even appear on the list.  Company id: 259621 MRR at risk:€4,668.00 Link to logs: • Attached HAR file and Console Logs  Recording: https://www.loom.com/share/477518d8529d42f7b4b33550ab3351be Could you please take a look? Thank you! AttachmentsAnalytics Agent View Issue.har Screenshot 2025-04-09 at 20.22.48.png • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5510","2025-04-08T21:21:37.188+0200","[Dashboard] Contacts Aren't Imported From CSV","Unassigned","Zoltan Viragh","Normal","Closed","Won't Do","2025-04-11T09:32:32.920+0200","Hi! What happened? • Client reported that whenever they upload a list of contacts they arent actually imported. Client provided two lists.  Customers filtered lisa was uploaded successfully  Customers filtered bobby wasn't uploaded successfully The list that failed to upload has a couple of contacts whose names are written in special fonts. I removed those rows and uploaded the file, it worked. So I assume the issue is with fonts. Would this be a bug or should we just ask clients to use standard fonts? How to reproduce? Step by step. • Attempt to upload ""Customers filtered bobby""  Expected behavior? • Contacts from the uploaded list should be imported.  Company id: 302235 MRR at risk:Demo Link to logs: • Please see attached har file.  Could you please take a look? Thank you! Attachmentscustomers_filtered_lisa_revised.csv customers_filtered_bobby (1).csv • Please see Zendesk Support tab for further comments and attachments."
"Ticket","DSH-5507","2025-04-08T18:46:48.761+0200","[AN] Time Spent On Playback Step Isnt Displayed In Call Details","Unassigned","Zoltan Viragh","Normal","Under Triage","Unresolved","2025-04-10T15:16:17.799+0200","Hi! What happened? • Client reportedf that they would need to know how long their callers listened to their custom recordings. While the playback step is displayed in call details via analytics, we dont seem to display the time spent on said step.  How to reproduce? Step by step. • Set up a CFD with a playback step.  • Make a call to the number with that CFD.  • Check said call's details in analytics.  Expected behavior? • I assume we should display the time spent on playback steps.  Company id: 200839 MRR at risk:$337,50 Call ID:846800071 Could you please take a look? Thank you! • Please see Zendesk Support tab for further comments and attachments."
